"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 21 19:19:22 CST 2025","Fri Feb 21 19:19:22 CST 2025","14","test_case","test_03","Test03","","","test_vuln_upload_attacks[WebShell\u4e0a\u4f20]","
        @function: 测试上传漏洞
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:12 CST 2025","Fri Feb 21 19:19:12 CST 2025","0","test_case","test_01","Test01","","","test_002",""
"passed","Fri Feb 21 19:19:22 CST 2025","Fri Feb 21 19:19:22 CST 2025","7","test_case","test_03","Test03","","","test_vuln_upload_attacks[.htaccess\u653b\u51fb]","
        @function: 测试上传漏洞
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:22 CST 2025","Fri Feb 21 19:19:22 CST 2025","7","test_case","test_03","Test03","","","test_vuln_upload_attacks[\u8def\u5f84\u7a7f\u8d8a\u653b\u51fb]","
        @function: 测试上传漏洞
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:20 CST 2025","Fri Feb 21 19:19:20 CST 2025","142","test_case","test_03","Test03","","","test_sql_injection[sql\u6ce8\u51652]","
        @function: 测试SQL注入
        @param payload: 注入负载
        "
"failed","Fri Feb 21 19:19:22 CST 2025","Fri Feb 21 19:19:22 CST 2025","7","test_case","test_03","Test03","","","test_vuln_upload_attacks[\u53cc\u91cd\u6269\u5c55\u540d\u7ed5\u8fc7]","
        @function: 测试上传漏洞
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:21 CST 2025","63","test_case","test_03","Test03","","","test_xss[xss\u6ce8\u51653]","
        @function: 测试XSS注入
        @param payload: 注入负载
        "
"failed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:22 CST 2025","216","test_case","test_03","Test03","","","test_csrf","
       @function: 测试CSRF攻击
       "
"failed","Fri Feb 21 19:19:22 CST 2025","Fri Feb 21 19:19:22 CST 2025","21","test_case","test_03","Test03","","","test_post_sql_injection","
        @function: 测试Post型SQL注入
        "
"passed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:21 CST 2025","56","test_case","test_03","Test03","","","test_xss[xss\u6ce8\u51652]","
        @function: 测试XSS注入
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:19 CST 2025","Fri Feb 21 19:19:20 CST 2025","1014","test_case","test_02","Test02","","","test_002","
        登录后操作
        "
"passed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:21 CST 2025","94","test_case","test_03","Test03","","","test_sql_injection[sql\u6ce8\u51655]","
        @function: 测试SQL注入
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:21 CST 2025","56","test_case","test_03","Test03","","","test_xss[xss\u6ce8\u51655]","
        @function: 测试XSS注入
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:07 CST 2025","Fri Feb 21 19:19:12 CST 2025","4231","test_case","test_01","Test01","","","test_001",""
"passed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:21 CST 2025","266","test_case","test_03","Test03","","","test_xss[xss\u6ce8\u51651]","
        @function: 测试XSS注入
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:20 CST 2025","Fri Feb 21 19:19:21 CST 2025","122","test_case","test_03","Test03","","","test_sql_injection[sql\u6ce8\u51653]","
        @function: 测试SQL注入
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:20 CST 2025","Fri Feb 21 19:19:20 CST 2025","108","test_case","test_03","Test03","","","test_sql_injection[sql\u6ce8\u51651]","
        @function: 测试SQL注入
        @param payload: 注入负载
        "
"failed","Fri Feb 21 19:19:12 CST 2025","Fri Feb 21 19:19:19 CST 2025","6810","test_case","test_02","Test02","","","test_001","
        登录
        "
"passed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:21 CST 2025","124","test_case","test_03","Test03","","","test_sql_injection[sql\u6ce8\u51654]","
        @function: 测试SQL注入
        @param payload: 注入负载
        "
"passed","Fri Feb 21 19:19:21 CST 2025","Fri Feb 21 19:19:21 CST 2025","67","test_case","test_03","Test03","","","test_xss[xss\u6ce8\u51654]","
        @function: 测试XSS注入
        @param payload: 注入负载
        "
